,GEMEENTENAAM,GESLACHT,LEEFTIJDSKLASSE,KOSTEN_FARMACIE per AANTAL_VERZEKERDEJAREN,AANTAL_VERZEKERDEJAREN
0,AA EN HUNZE,M, 0 t/m  4 jaar,"87,5162063044538","471,73"
1,AALBURG,M, 0 t/m  4 jaar,"85,37354771784231","385,6"
2,AALSMEER,M, 0 t/m  4 jaar,"81,48211931742595","826,87"
3,AALTEN,M, 0 t/m  4 jaar,"72,71928541417033","642,61"
4,ACHTKARSPELEN,M, 0 t/m  4 jaar,"114,99780251402859","764,51"
5,ALBLASSERDAM,M, 0 t/m  4 jaar,"235,15703059219757","570,08"
6,ALBRANDSWAARD,M, 0 t/m  4 jaar,"126,34373956836622","689,01"
7,ALKMAAR,M, 0 t/m  4 jaar,"94,24816758531723","2728,64"
8,ALMELO,M, 0 t/m  4 jaar,"133,24157125937623","1773,1"
9,ALMERE,M, 0 t/m  4 jaar,"125,2048021019678","5724,16"
10,ALPHEN AAN DEN RIJN,M, 0 t/m  4 jaar,"98,679014482515","2831,0"
11,ALPHEN-CHAAM,M, 0 t/m  4 jaar,"87,74103229269164","223,58"
12,AMELAND,M, 0 t/m  4 jaar,"121,51296212804327","88,72"
13,AMERSFOORT,M, 0 t/m  4 jaar,"71,82136731085562","4547,32"
14,AMSTELVEEN,M, 0 t/m  4 jaar,"79,48567705202618","2079,53"
15,AMSTERDAM,M, 0 t/m  4 jaar,"83,02635573812175","22535,51"
16,APELDOORN,M, 0 t/m  4 jaar,"92,19658298353679","3730,74"
17,APPINGEDAM,M, 0 t/m  4 jaar,"81,75358677150037","246,74"
18,ARNHEM,M, 0 t/m  4 jaar,"100,63865439294504","4086,78"
19,ASSEN,M, 0 t/m  4 jaar,"80,05226623111473","1738,79"
20,ASTEN,M, 0 t/m  4 jaar,"93,71581959317807","352,98"
21,BAARLE-NASSAU,M, 0 t/m  4 jaar,"53,29005502831167","125,39"
22,BAARN,M, 0 t/m  4 jaar,"84,43006087872457","560,13"
23,BARENDRECHT,M, 0 t/m  4 jaar,"91,58705602343463","1310,88"
24,BARNEVELD,M, 0 t/m  4 jaar,"73,82939058600049","1810,92"
25,BEDUM,M, 0 t/m  4 jaar,"111,90088618450605","244,87"
26,BEEK,M, 0 t/m  4 jaar,"112,10323253388945","278,11"
