GEMEENTENAAM,KOSTEN_FARMACIE per AANTAL_VERZEKERDEJAREN
AA EN HUNZE,"251,65901331424303"
AALBURG,"246,74149732662408"
AALSMEER,"233,31887210398764"
AALTEN,"258,6673110054624"
ACHTKARSPELEN,"255,03033671824804"
ALBLASSERDAM,"296,578857264587"
ALBRANDSWAARD,"218,34351515161194"
ALKMAAR,"229,7512910827427"
ALMELO,"304,34768354046355"
ALMERE,"230,5513202558017"
ALPHEN AAN DEN RIJN,"239,57037401838244"
ALPHEN-CHAAM,"233,43608730103043"
AMELAND,"236,91209457068027"
AMERSFOORT,"230,64517899473248"
AMSTELVEEN,"252,2225885509993"
AMSTERDAM,"288,1518769576058"
APELDOORN,"260,1367477534293"
APPINGEDAM,"341,24217990908556"
ARNHEM,"263,1716025522716"
ASSEN,"242,77289782963706"
ASTEN,"225,25081237817395"
BAARLE-NASSAU,"317,1068826250013"
BAARN,"249,91186504351484"
BARENDRECHT,"231,4607737730424"
BARNEVELD,"207,6531457994396"
BEDUM,"253,28778592120204"
BEEK,"285,70128941876095"
BEEMSTER,"206,40301090836928"
BEESEL,"279,1282423233777"
BERG EN DAL,"274,51630816062715"
BERGEIJK,"243,1718854931547"
BERGEN LB,"290,64733938632185"
BERGEN NH,"240,52535011680337"
BERGEN OP ZOOM,"307,3213539706315"
BERKELLAND,"260,76657275775"
BERNHEZE,"263,7688552671264"
BEST,"259,5434153591366"
BEUNINGEN,"240,99824607765328"
BEVERWIJK,"266,2228721534732"
BINNENMAAS,"263,33263557692106"
BLADEL,"264,8938945402578"
BLARICUM,"244,25695161068396"
BLOEMENDAAL,"241,00071075705551"
BODEGRAVEN-REEUWIJK,"235,23339852568714"
BOEKEL,"226,54676368710903"
BORGER-ODOORN,"283,6906782340518"
BORNE,"284,1423174701228"
BORSELE,"219,94238420228936"
BOXMEER,"260,36638689713243"
BOXTEL,"242,3780732030332"
BREDA,"256,24492924152275"
BRIELLE,"266,19684016086757"
BRONCKHORST,"286,5566711307218"
BRUMMEN,"266,4857027244461"
BRUNSSUM,"322,62769074302406"
BUNNIK,"243,2631925877807"
BUNSCHOTEN,"218,9457642843073"
BUREN,"249,89717171333453"
CAPELLE AAN DEN IJSSEL,"264,3721792216287"
CASTRICUM,"248,86441897973287"
COEVORDEN,"279,8600957457684"
CRANENDONCK,"270,31275404858843"
CROMSTRIJEN,"273,7231734693235"
CUIJK,"263,4140702302745"
CULEMBORG,"242,95025310054487"
DALFSEN,"243,96336057474858"
DANTUMADIEL,"273,23263808013155"
DE BILT,"250,19968054045833"
DE FRYSKE MARREN,"245,33984111691075"
DE MARNE,"309,6886992673854"
DE RONDE VENEN,"229,99571414764998"
DE WOLDEN,"243,8029240542623"
DELFT,"259,84243471442363"
DELFZIJL,"349,83717206975973"
DEN HELDER,"292,932060927504"
DEURNE,"242,89658433057048"
DEVENTER,"268,2226099262134"
DIEMEN,"244,05210521889327"
DINKELLAND,"226,15775410326458"
DOESBURG,"311,54686952316297"
DOETINCHEM,"287,038081656292"
DONGEN,"261,5468698126349"
DONGERADEEL,"275,3360312183841"
DORDRECHT,"275,17565900255767"
DRECHTERLAND,"186,5528338819435"
DRIMMELEN,"257,14861277202806"
DRONTEN,"247,7172920471738"
DRUTEN,"267,0981913299726"
DUIVEN,"252,3260838802778"
ECHT-SUSTEREN,"305,03828506957507"
EDAM-VOLENDAM,"263,6844597427366"
EDE,"240,35047930606518"
EEMNES,"218,3544597443781"
EEMSMOND,"313,6166209959369"
EERSEL,"236,28717326162976"
EIJSDEN-MARGRATEN,"293,2349166940074"
EINDHOVEN,"274,90986039963275"
ELBURG,"248,3250485058859"
EMMEN,"301,9581070165855"
ENKHUIZEN,"245,47766806340346"
ENSCHEDE,"262,96331648061204"
EPE,"311,08091360517466"
ERMELO,"256,1499465895948"
ETTEN-LEUR,"250,4650329074003"
FERWERDERADIEL,"207,96890624387706"
GEERTRUIDENBERG,"264,59209926880135"
GELDERMALSEN,"257,6353741799638"
GELDROP-MIERLO,"281,2722434848168"
GEMERT-BAKEL,"242,51809667857827"
GENNEP,"256,82780440308767"
GIESSENLANDEN,"250,18663035932826"
GILZE EN RIJEN,"255,59374655786692"
GOEREE-OVERFLAKKEE,"295,3811039730892"
GOES,"306,34452444760444"
GOIRLE,"262,4301559420973"
GOOISE MEREN,"248,07404956628037"
GORINCHEM,"269,5479527280937"
GOUDA,"264,0051327049075"
GRAVE,"252,87200136260233"
GRONINGEN,"220,02286475272302"
GROOTEGAST,"226,0666547618553"
GULPEN-WITTEM,"293,46503241188134"
HAAKSBERGEN,"236,27239592316698"
HAAREN,"223,95553193840527"
HAARLEM,"227,33173433229823"
HAARLEMMERLIEDE CA,"213,73854325448687"
HAARLEMMERMEER,"227,7217153855526"
HALDERBERGE,"327,5932657581321"
HARDENBERG,"238,88591460947364"
HARDERWIJK,"255,07470294536708"
HARDINXVELD-GIESSENDAM,"248,83997636469218"
HAREN,"242,18010706442013"
HARLINGEN,"265,41844718772467"
HATTEM,"267,0905590255267"
HEEMSKERK,"257,2173238418473"
HEEMSTEDE,"277,33289161262326"
HEERDE,"266,3961439141126"
HEERENVEEN,"256,77094488365645"
HEERHUGOWAARD,"227,64035347420844"
HEERLEN,"358,75428178453956"
HEEZE-LEENDE,"270,0005511771198"
HEILOO,"223,50412264423494"
HELLENDOORN,"259,58197434243186"
HELLEVOETSLUIS,"278,35725264113614"
HELMOND,"266,4292240600623"
HENDRIK-IDO-AMBACHT,"247,66276593719107"
HENGELO,"251,5220510019833"
HEUMEN,"245,4013194930688"
HEUSDEN,"252,6780120736287"
HILLEGOM,"270,4341957678943"
HILVARENBEEK,"258,1700012851494"
HILVERSUM,"256,95524818520926"
HOF VAN TWENTE,"274,986323947965"
HOLLANDS KROON,"230,29474142769718"
HOOGEVEEN,"297,6090115896317"
HOORN,"226,0498198727798"
HORST AAN DE MAAS,"281,32711385768874"
HOUTEN,"211,71658345511258"
HUIZEN,"250,69478314665494"
HULST,"301,42244958481626"
IJSSELSTEIN,"246,76142954134102"
KAAG EN BRAASSEM,"233,15791322239224"
KAMPEN,"240,73801127214796"
KAPELLE,"225,90958770577734"
KATWIJK,"255,50280664008477"
KERKRADE,"353,2649632013034"
KOGGENLAND,"189,86738337140594"
KOLLUMERLAND CA,"264,5325425833674"
KORENDIJK,"267,2736109855674"
KRIMPEN AAN DEN IJSSEL,"262,5394174296492"
