GEMEENTENAAM,KOSTEN_FARMACIE per AANTAL_VERZEKERDEJAREN
KRIMPENERWAARD,"241,68111795212425"
LAARBEEK,"269,8526626174245"
LANDERD,"271,61941463158314"
LANDGRAAF,"330,51593311230585"
LANDSMEER,"243,9263672406475"
LANGEDIJK,"196,77270744041112"
LANSINGERLAND,"201,834226291649"
LAREN,"275,2677067019927"
LEEK,"243,83643059428744"
LEERDAM,"282,69796726875984"
LEEUWARDEN,"248,73504812795446"
LEIDEN,"234,5528109532019"
LEIDERDORP,"254,57861892606167"
LEIDSCHENDAM-VOORBURG,"275,52038250784324"
LELYSTAD,"285,9539689739923"
LEUDAL,"261,06976639677157"
LEUSDEN,"231,81135924997366"
LINGEWAAL,"221,67457908614554"
LINGEWAARD,"235,06459205550047"
LISSE,"240,33637644490486"
LOCHEM,"249,05162617769844"
LOON OP ZAND,"283,94360105998294"
LOPIK,"207,280273878936"
LOPPERSUM,"289,8386117025066"
LOSSER,"254,19487899867173"
MAASDRIEL,"233,48936420056816"
MAASGOUW,"311,6240702306323"
MAASSLUIS,"267,51666377615004"
MAASTRICHT,"336,2600286578055"
MARUM,"243,5906235588786"
MEDEMBLIK,"225,2715344557787"
MEERSSEN,"335,8353614726196"
MEIERIJSTAD,"251,68090162640334"
MEPPEL,"261,5130505378776"
MIDDELBURG,"245,2269863245751"
MIDDEN-DELFLAND,"202,99299886882926"
MIDDEN-DRENTHE,"256,2990582663571"
MIDDEN-GRONINGEN,"298,4789809759455"
MILL EN SINT HUBERT,"264,9120368823395"
MOERDIJK,"282,0484932081386"
MOLENWAARD,"209,854070153841"
MONTFERLAND,"299,03888518652303"
MONTFOORT,"208,2775792153696"
MOOK EN MIDDELAAR,"231,23189545343408"
NEDER-BETUWE,"294,3773230888024"
NEDERWEERT,"262,77483726083176"
NEERIJNEN,"216,0818210790588"
NIEUWEGEIN,"272,1382052703939"
NIEUWKOOP,"221,57307407009822"
NIJKERK,"237,50482527002282"
NIJMEGEN,"243,48905766378024"
NISSEWAARD,"307,95933822443953"
NOORD-BEVELAND,"293,5807779434575"
NOORDENVELD,"244,36492867961854"
NOORDOOSTPOLDER,"232,44054929999683"
NOORDWIJK,"227,3933460106172"
NOORDWIJKERHOUT,"244,21235784469997"
NUENEN CA,"247,7635564543393"
NUNSPEET,"245,05604682739815"
NUTH,"316,1902226328066"
OEGSTGEEST,"229,84402324473598"
OIRSCHOT,"240,73432871258998"
OISTERWIJK,"298,53031065069564"
OLDAMBT,"357,4437038786573"
OLDEBROEK,"238,99097445311313"
OLDENZAAL,"250,24892429883565"
OLST-WIJHE,"246,46403938174754"
OMMEN,"223,45795405250493"
ONDERBANKEN,"289,48675856302015"
OOST GELRE,"257,6687464421607"
OOSTERHOUT,"269,2211655343812"
OOSTSTELLINGWERF,"274,2108397243298"
OOSTZAAN,"238,44745860444394"
OPMEER,"219,30549691443963"
OPSTERLAND,"236,13322062047183"
OSS,"287,2525422680305"
OUD-BEIJERLAND,"257,2650094670119"
OUDE IJSSELSTREEK,"274,0161509741265"
OUDER-AMSTEL,"229,5054673836524"
OUDEWATER,"243,7625686272341"
OVERBETUWE,"249,51739138303313"
PAPENDRECHT,"263,6620504342573"
PEEL EN MAAS,"263,07361609865956"
PEKELA,"355,0689280288954"
PIJNACKER-NOOTDORP,"211,64716104531897"
PURMEREND,"278,50436367486935"
PUTTEN,"253,86483393225308"
RAALTE,"238,14873474204205"
REIMERSWAAL,"255,73503801162707"
RENKUM,"288,51607245413004"
RENSWOUDE,"216,52830014265095"
REUSEL-DE MIERDEN,"238,59398144947707"
RHEDEN,"273,1963852714901"
RHENEN,"241,16220278563046"
RIDDERKERK,"279,08289572209736"
RIJSSEN-HOLTEN,"262,33056525021027"
RIJSWIJK,"311,4322352860622"
ROERDALEN,"307,966007906693"
ROERMOND,"298,69330145259624"
ROOSENDAAL,"298,93746865096944"
ROTTERDAM,"284,3561099616408"
ROZENDAAL,"194,39581050552607"
RUCPHEN,"339,2300384135991"
S GRAVENHAGE,"281,27590667920407"
S HERTOGENBOSCH,"258,4132982427697"
SCHAGEN,"227,00332940200056"
SCHERPENZEEL,"223,893388125417"
SCHIEDAM,"282,36845501846057"
SCHIERMONNIKOOG,"247,22134766321795"
SCHINNEN,"271,72284984258437"
SCHOUWEN-DUIVELAND,"292,2490505277365"
SIMPELVELD,"293,4811829539871"
SINT ANTHONIS,"226,5067984729743"
SINT-MICHIELSGESTEL,"248,4751805070081"
SITTARD-GELEEN,"327,39951001400885"
SLIEDRECHT,"286,427677388127"
SLUIS,"292,6160237654037"
SMALLINGERLAND,"263,2157142859742"
SOEST,"257,93173726583166"
SOMEREN,"239,5475471369329"
SON EN BREUGEL,"277,12278132765357"
STADSKANAAL,"339,0934280562052"
STAPHORST,"190,09006385418053"
STEDE BROEC,"232,76087608494169"
STEENBERGEN,"301,863866090525"
STEENWIJKERLAND,"254,18786688095724"
STEIN,"295,63334008427745"
STICHTSE VECHT,"253,87122261263193"
STRIJEN,"288,2476315268302"
SUDWEST-FRYSLAN,"238,82087330878278"
TEN BOER,"189,70765021450575"
TERNEUZEN,"303,72665392635855"
TERSCHELLING,"235,21913949336394"
TEXEL,"271,4803913698839"
TEYLINGEN,"229,93158330122617"
THOLEN,"280,83324906754586"
TIEL,"256,9427302284491"
TILBURG,"272,18052330530196"
TUBBERGEN,"233,20669708813583"
TWENTERAND,"265,61438178042994"
TYNAARLO,"245,99597119803857"
TYTSJERKSTERADIEL,"237,24109653255715"
UDEN,"267,03161212707005"
UITGEEST,"203,3004175775961"
UITHOORN,"238,07267900259433"
URK,"187,3661313853039"
UTRECHT,"215,18592690982112"
UTRECHTSE HEUVELRUG,"252,78212711204668"
VAALS,"354,8746881893606"
VALKENBURG AAN DE GEUL,"315,6999653812294"
VALKENSWAARD,"284,7611739837733"
VEENDAM,"316,56745488713625"
VEENENDAAL,"266,0449312974592"
VEERE,"231,07816827795835"
VELDHOVEN,"252,71434962235435"
VELSEN,"262,0427547760102"
VENLO,"319,75684630846087"
VENRAY,"279,8173347090557"
VIANEN,"258,6246650633057"
VLAARDINGEN,"287,45658973057846"
VLIELAND,"223,0729565498981"
VLISSINGEN,"285,58706180947"
VOERENDAAL,"296,9595027287589"
VOORSCHOTEN,"251,6078369958962"
VOORST,"261,2611389893118"
VUGHT,"242,1551607174963"
WAADHOEKE,"257,4835647985535"
WAALRE,"263,8706016201074"
WAALWIJK,"280,6653913716457"
WADDINXVEEN,"249,12292372607308"
WAGENINGEN,"226,9446414223904"
WASSENAAR,"269,9289884022564"
WATERLAND,"255,06308029532156"
WEERT,"289,4326688623937"
WEESP,"224,00411117080478"
WERKENDAM,"249,20480784292036"
WEST MAAS EN WAAL,"241,00743232819173"
WESTERVELD,"252,1652126233961"
WESTERVOORT,"261,79110836922547"
WESTERWOLDE,"334,0649254036546"
WESTLAND,"234,5597380567212"
WESTSTELLINGWERF,"263,4690014259171"
WESTVOORNE,"280,93417082254007"
WIERDEN,"246,49343888953703"
WIJCHEN,"252,2252727994723"
WIJDEMEREN,"244,50241854916428"
WIJK BIJ DUURSTEDE,"227,21843048950495"
WINSUM,"260,6668126168057"
WINTERSWIJK,"278,2623845781893"
WOENSDRECHT,"288,20875120774383"
WOERDEN,"251,80890178907293"
WORMERLAND,"223,29386018609208"
WOUDENBERG,"222,53332875683435"
WOUDRICHEM,"247,74059869088714"
ZAANSTAD,"250,53322969193079"
ZALTBOMMEL,"242,18205103755926"
ZANDVOORT,"310,9563110137106"
ZEDERIK,"252,70691467668257"
ZEEWOLDE,"201,2080168782324"
ZEIST,"251,07475886495615"
ZEVENAAR,"262,30843004807883"
ZOETERMEER,"260,4201992342812"
ZOETERWOUDE,"221,6601747142573"
ZUIDHORN,"223,88216466214158"
ZUIDPLAS,"235,15222404264625"
ZUNDERT,"258,46482162838544"
ZUTPHEN,"270,98071111800823"
ZWARTEWATERLAND,"215,90891607985583"
ZWIJNDRECHT,"306,6431169244923"
ZWOLLE,"226,59214742514092"
