GEMEENTENAAM,KOSTEN_FARMACIE per AANTAL_VERZEKERDEJAREN
KORENDIJK,"308,1893511700406"
KRIMPEN AAN DEN IJSSEL,"320,8463530701747"
KRIMPENERWAARD,"289,4695176909997"
LAARBEEK,"310,40672497595756"
LANDERD,"300,7258433419079"
LANDGRAAF,"387,8728895982511"
LANDSMEER,"324,9489724954484"
LANGEDIJK,"228,09601349457222"
LANSINGERLAND,"245,57812849346416"
LAREN,"337,4178610192963"
LEEK,"280,22820163312207"
LEERDAM,"360,30003241594886"
LEEUWARDEN,"292,43936780923224"
LEIDEN,"284,6023540289886"
LEIDERDORP,"322,83652849604243"
LEIDSCHENDAM-VOORBURG,"354,4014148640001"
LELYSTAD,"330,3110139637593"
LEUDAL,"314,81004298345016"
LEUSDEN,"278,0863157324469"
LINGEWAAL,"262,1388677548287"
LINGEWAARD,"284,51585897106315"
LISSE,"303,37501849563944"
LOCHEM,"286,4431961345731"
LOON OP ZAND,"345,7585131921572"
LOPIK,"250,38121836521213"
LOPPERSUM,"364,73963836479516"
LOSSER,"319,8524175164163"
MAASDRIEL,"286,64010135575734"
MAASGOUW,"385,76450403801005"
MAASSLUIS,"347,41110215719897"
MAASTRICHT,"415,20740719144754"
MARUM,"268,19124735753934"
MEDEMBLIK,"279,24623313208014"
MEERSSEN,"427,8754210009378"
MEIERIJSTAD,"305,4005453397007"
MEPPEL,"325,55671551754506"
MIDDELBURG,"318,3747244654293"
MIDDEN-DELFLAND,"248,69243766896966"
MIDDEN-DRENTHE,"325,08500367892816"
MIDDEN-GRONINGEN,"333,8601236690529"
MILL EN SINT HUBERT,"309,7438463224684"
MOERDIJK,"324,03708645381505"
MOLENWAARD,"243,05348364495583"
MONTFERLAND,"356,70821419730254"
MONTFOORT,"242,20620161580456"
MOOK EN MIDDELAAR,"283,14431939891097"
NEDER-BETUWE,"344,8451476099179"
NEDERWEERT,"315,9895625952486"
NEERIJNEN,"262,99435651426825"
NIEUWEGEIN,"311,71774920585193"
NIEUWKOOP,"269,27781443087326"
NIJKERK,"274,9374949857998"
NIJMEGEN,"291,92196203185256"
NISSEWAARD,"342,67863185678186"
NOORD-BEVELAND,"371,56377614541833"
NOORDENVELD,"306,1226917317173"
NOORDOOSTPOLDER,"280,052960567906"
NOORDWIJK,"286,19426326063734"
NOORDWIJKERHOUT,"309,4753836384871"
NUENEN CA,"283,31361726458"
NUNSPEET,"305,5801534506212"
NUTH,"404,0259949144608"
OEGSTGEEST,"284,09140278869864"
OIRSCHOT,"293,7960557530621"
OISTERWIJK,"340,85384471269623"
OLDAMBT,"383,7460322840838"
OLDEBROEK,"287,03855991933796"
OLDENZAAL,"306,55989387559396"
OLST-WIJHE,"294,20395036378034"
OMMEN,"288,64818967964476"
ONDERBANKEN,"350,71008355124684"
OOST GELRE,"297,9892795015572"
OOSTERHOUT,"317,53761650246213"
OOSTSTELLINGWERF,"311,7447907660969"
OOSTZAAN,"306,2845766969399"
OPMEER,"283,2483066977946"
OPSTERLAND,"279,6631665023628"
OSS,"332,8477508381683"
OUD-BEIJERLAND,"327,5975564137711"
OUDE IJSSELSTREEK,"310,34250246258574"
OUDER-AMSTEL,"287,4945006541715"
OUDEWATER,"317,3625890066325"
OVERBETUWE,"294,9549833727721"
PAPENDRECHT,"317,79316972688446"
PEEL EN MAAS,"310,3668436465"
PEKELA,"417,609164015272"
PIJNACKER-NOOTDORP,"248,17298608575337"
PURMEREND,"321,81283975798016"
PUTTEN,"328,67020888467886"
RAALTE,"302,00602882610195"
REIMERSWAAL,"317,13403599800773"
RENKUM,"346,700686883903"
RENSWOUDE,"229,17282356536302"
REUSEL-DE MIERDEN,"281,3580254627572"
RHEDEN,"325,5925853388653"
RHENEN,"254,26304484750145"
RIDDERKERK,"336,8679615839287"
RIJSSEN-HOLTEN,"317,004512428565"
RIJSWIJK,"389,09081591962234"
ROERDALEN,"373,3367823898751"
ROERMOND,"362,7834552759431"
ROOSENDAAL,"353,0735514102043"
ROTTERDAM,"336,4213680853668"
ROZENDAAL,"324,77484320039963"
RUCPHEN,"420,167125086628"
S GRAVENHAGE,"352,3559132993711"
S HERTOGENBOSCH,"306,4413393463308"
SCHAGEN,"268,2587767142606"
SCHERPENZEEL,"278,44283042077"
SCHIEDAM,"342,87660095737454"
SCHIERMONNIKOOG,"291,4136272589201"
SCHINNEN,"347,6671200089581"
SCHOUWEN-DUIVELAND,"362,82672234498705"
SIMPELVELD,"337,87108366205644"
SINT ANTHONIS,"275,00853276261256"
SINT-MICHIELSGESTEL,"290,7872036969279"
SITTARD-GELEEN,"407,5049895292744"
SLIEDRECHT,"338,83572449162585"
SLUIS,"372,64400990652166"
SMALLINGERLAND,"300,65669855675446"
SOEST,"295,0476167638745"
SOMEREN,"292,02722323346256"
SON EN BREUGEL,"304,75923626636603"
STADSKANAAL,"377,838845661839"
STAPHORST,"234,1601641673881"
STEDE BROEC,"272,5694361282114"
STEENBERGEN,"359,5627261339093"
STEENWIJKERLAND,"318,72740493397527"
STEIN,"373,65569341203053"
STICHTSE VECHT,"306,34522097201165"
STRIJEN,"337,10768627370965"
SUDWEST-FRYSLAN,"285,346021248674"
TEN BOER,"248,85169459642484"
TERNEUZEN,"363,4488227694526"
TERSCHELLING,"271,12053651919337"
TEXEL,"323,93968070632644"
TEYLINGEN,"286,4166005206067"
THOLEN,"364,4341521934792"
TIEL,"298,3839006611114"
TILBURG,"321,827120688585"
TUBBERGEN,"261,48393708390336"
TWENTERAND,"312,26832749158734"
TYNAARLO,"294,7726844693097"
TYTSJERKSTERADIEL,"278,1100198931585"
UDEN,"314,01600870802537"
UITGEEST,"260,87492359050265"
UITHOORN,"294,5543542011259"
URK,"228,0912207956126"
UTRECHT,"267,9333815457252"
UTRECHTSE HEUVELRUG,"312,9943276585519"
VAALS,"429,4755134240105"
VALKENBURG AAN DE GEUL,"379,48314423399887"
VALKENSWAARD,"331,9986867771364"
VEENDAM,"339,62273557094807"
VEENENDAAL,"308,3226698805615"
VEERE,"296,59907329208505"
VELDHOVEN,"291,287488599371"
VELSEN,"319,7363788859898"
VENLO,"371,14754240218883"
VENRAY,"319,8268567060748"
VIANEN,"309,8204539260508"
VLAARDINGEN,"351,823053278031"
VLIELAND,"283,4997776705551"
VLISSINGEN,"365,06092064517094"
VOERENDAAL,"366,6156933880298"
VOORSCHOTEN,"330,9537743208203"
VOORST,"304,99745528202794"
VUGHT,"289,6278067812217"
WAADHOEKE,"291,74425978159604"
WAALRE,"289,62573047576785"
WAALWIJK,"332,7166473815673"
WADDINXVEEN,"299,70486097439044"
WAGENINGEN,"274,80916589176434"
WASSENAAR,"333,6166877056391"
WATERLAND,"314,1828767550996"
WEERT,"363,13431213089603"
WEESP,"293,931128443704"
WERKENDAM,"295,0238576498556"
WEST MAAS EN WAAL,"284,1219242929874"
WESTERVELD,"324,40945494154005"
WESTERVOORT,"322,41444053202457"
WESTERWOLDE,"369,9141151202681"
WESTLAND,"298,8213176728241"
WESTSTELLINGWERF,"297,79732679200237"
WESTVOORNE,"332,8954366592792"
WIERDEN,"275,0344531031202"
WIJCHEN,"296,338210999512"
WIJDEMEREN,"301,50938475076623"
WIJK BIJ DUURSTEDE,"268,7052761790808"
WINSUM,"268,80665603103864"
WINTERSWIJK,"322,88717375244926"
WOENSDRECHT,"363,8905151275734"
WOERDEN,"292,6572140117175"
WORMERLAND,"281,85136565149315"
WOUDENBERG,"275,16972080121195"
WOUDRICHEM,"298,3936310932948"
ZAANSTAD,"311,1451483981848"
ZALTBOMMEL,"278,063531191254"
ZANDVOORT,"381,7347369466746"
ZEDERIK,"278,98417196836806"
ZEEWOLDE,"239,9591917757096"
ZEIST,"300,71552139174656"
ZEVENAAR,"312,78948992620303"
ZOETERMEER,"321,8180074844651"
ZOETERWOUDE,"270,7047303604746"
ZUIDHORN,"256,73594872293876"
ZUIDPLAS,"276,88600084639216"
ZUNDERT,"328,79687750487983"
ZUTPHEN,"305,28519036822075"
ZWARTEWATERLAND,"251,1978225964831"
ZWIJNDRECHT,"356,5696609145116"
ZWOLLE,"274,4936395012055"
