,GEMEENTENAAM,GESLACHT,LEEFTIJDSKLASSE,KOSTEN_FARMACIE / AANTAL_VERZEKERDEJAREN,AANTAL_VERZEKERDEJAREN
0,AA EN HUNZE,M, 0 t/m  4 jaar,"78,6632376713623","476,33"
1,AALBURG,M, 0 t/m  4 jaar,"104,32952823270593","409,1"
2,AALSMEER,M, 0 t/m  4 jaar,"77,92223466188983","893,2"
3,AALTEN,M, 0 t/m  4 jaar,"79,7977469952545","676,43"
4,ACHTKARSPELEN,M, 0 t/m  4 jaar,"69,90062354841967","792,24"
5,ALBLASSERDAM,M, 0 t/m  4 jaar,"136,6427291728874","602,82"
6,ALBRANDSWAARD,M, 0 t/m  4 jaar,"125,37969743356363","725,13"
7,ALKMAAR,M, 0 t/m  4 jaar,"78,1520026795639","2716,86"
8,ALMELO,M, 0 t/m  4 jaar,"144,63868469629614","1831,06"
9,ALMERE,M, 0 t/m  4 jaar,"114,8832318948438","5885,34"
10,ALPHEN AAN DEN RIJN,M, 0 t/m  4 jaar,"95,61528560047593","2874,47"
11,ALPHEN-CHAAM,M, 0 t/m  4 jaar,"121,52367255627084","219,03"
12,AMELAND,M, 0 t/m  4 jaar,"88,18327169893409","91,94"
13,AMERSFOORT,M, 0 t/m  4 jaar,"84,34383052062181","4688,24"
14,AMSTELVEEN,M, 0 t/m  4 jaar,"89,04519162450465","2097,07"
15,AMSTERDAM,M, 0 t/m  4 jaar,"85,42732623811955","22486,52"
16,APELDOORN,M, 0 t/m  4 jaar,"95,44983634589764","3812,92"
17,APPINGEDAM,M, 0 t/m  4 jaar,"113,18051969012265","247,84"
18,ARNHEM,M, 0 t/m  4 jaar,"107,13417377515835","4187,48"
19,ASSEN,M, 0 t/m  4 jaar,"97,2146661113425","1800,75"
20,ASTEN,M, 0 t/m  4 jaar,"67,31265229124637","381,67"
21,BAARLE-NASSAU,M, 0 t/m  4 jaar,"51,120325693606766","132,64"
22,BAARN,M, 0 t/m  4 jaar,"117,63684147035002","580,27"
23,BARENDRECHT,M, 0 t/m  4 jaar,"141,0097931904344","1379,53"
24,BARNEVELD,M, 0 t/m  4 jaar,"64,82565840909598","1790,68"
25,BEDUM,M, 0 t/m  4 jaar,"120,67818160009595","250,11"
26,BEEK,M, 0 t/m  4 jaar,"84,09276741247305","269,06"
27,BEEMSTER,M, 0 t/m  4 jaar,"39,4140768758945","195,64"
28,BEESEL,M, 0 t/m  4 jaar,"87,90398635542773","299,02"
29,BERG EN DAL,M, 0 t/m  4 jaar,"63,50728394097899","640,45"
30,BERGEIJK,M, 0 t/m  4 jaar,"139,87660264531493","394,66"
31,BERGEN LB,M, 0 t/m  4 jaar,"71,33380403232132","254,94"
32,BERGEN NH,M, 0 t/m  4 jaar,"71,81062355658199","458,98"
33,BERGEN OP ZOOM,M, 0 t/m  4 jaar,"127,07060828283096","1508,18"
34,BERKELLAND,M, 0 t/m  4 jaar,"93,82480556692592","1001,63"
35,BERNHEZE,M, 0 t/m  4 jaar,"113,50493997083714","733,81"
36,BEST,M, 0 t/m  4 jaar,"86,5118506176731","666,21"
37,BEUNINGEN,M, 0 t/m  4 jaar,"91,37608309366357","545,89"
38,BEVERWIJK,M, 0 t/m  4 jaar,"72,60558868600336","1083,26"
39,BINNENMAAS,M, 0 t/m  4 jaar,"126,73911812900343","671,3"
40,BLADEL,M, 0 t/m  4 jaar,"56,333971060386155","454,74"
41,BLARICUM,M, 0 t/m  4 jaar,"132,00242795987478","156,51"
42,BLOEMENDAAL,M, 0 t/m  4 jaar,"74,51977401129943","419,49"
43,BODEGRAVEN-REEUWIJK,M, 0 t/m  4 jaar,"107,53373554435345","876,82"
44,BOEKEL,M, 0 t/m  4 jaar,"52,923671890901694","245,65"
45,BORGER-ODOORN,M, 0 t/m  4 jaar,"102,25267520873602","501,83"
46,BORNE,M, 0 t/m  4 jaar,"103,65545540389732","582,45"
47,BORSELE,M, 0 t/m  4 jaar,"75,73126173520308","591,17"
48,BOXMEER,M, 0 t/m  4 jaar,"107,94361575678435","597,33"
49,BOXTEL,M, 0 t/m  4 jaar,"89,49119438196082","729,08"
50,BREDA,M, 0 t/m  4 jaar,"90,7386832502169","4529,79"
51,BRIELLE,M, 0 t/m  4 jaar,"97,63981230586214","302,62"
52,BRONCKHORST,M, 0 t/m  4 jaar,"90,47260915285","694,21"
53,BRUMMEN,M, 0 t/m  4 jaar,"86,07749401826263","409,58"
54,BRUNSSUM,M, 0 t/m  4 jaar,"194,3275923566879","588,75"
55,BUNNIK,M, 0 t/m  4 jaar,"103,71810112537644","378,54"
56,BUNSCHOTEN,M, 0 t/m  4 jaar,"146,26771296238343","639,08"
57,BUREN,M, 0 t/m  4 jaar,"89,36825555278264","601,05"
58,CAPELLE AAN DEN IJSSEL,M, 0 t/m  4 jaar,"101,14525498438276","1712,85"
59,CASTRICUM,M, 0 t/m  4 jaar,"59,43801125133039","657,7"
60,COEVORDEN,M, 0 t/m  4 jaar,"95,3513065569804","826,6"
61,CRANENDONCK,M, 0 t/m  4 jaar,"107,25996765498651","463,75"
62,CROMSTRIJEN,M, 0 t/m  4 jaar,"110,76615619682606","287,97"
63,CUIJK,M, 0 t/m  4 jaar,"84,11829644652147","567,05"
64,CULEMBORG,M, 0 t/m  4 jaar,"77,53662769578496","743,29"
65,DALFSEN,M, 0 t/m  4 jaar,"37,00877507698747","668,94"
66,DANTUMADIEL,M, 0 t/m  4 jaar,"46,847802173626086","454,54"
67,DE BILT,M, 0 t/m  4 jaar,"91,80714019183917","911,18"
68,DE FRYSKE MARREN,M, 0 t/m  4 jaar,"46,830776812665555","1298,64"
69,DE MARNE,M, 0 t/m  4 jaar,"73,67349119507608","233,96"
70,DE RONDE VENEN,M, 0 t/m  4 jaar,"60,25678563914021","903,01"
71,DE WOLDEN,M, 0 t/m  4 jaar,"146,37164759004517","476,15"
72,DELFT,M, 0 t/m  4 jaar,"85,18384736455182","2026,79"
73,DELFZIJL,M, 0 t/m  4 jaar,"91,46123814835471","519,97"
74,DEN HELDER,M, 0 t/m  4 jaar,"119,5001570623066","1273,38"
75,DEURNE,M, 0 t/m  4 jaar,"86,75047141054542","705,33"
76,DEVENTER,M, 0 t/m  4 jaar,"97,69250958857026","2560,34"
77,DIEMEN,M, 0 t/m  4 jaar,"54,39821759613586","587,97"
78,DINKELLAND,M, 0 t/m  4 jaar,"90,6563770894172","558,17"
79,DOESBURG,M, 0 t/m  4 jaar,"144,5594021717354","249,57"
80,DOETINCHEM,M, 0 t/m  4 jaar,"108,18513845236183","1307,67"
81,DONGEN,M, 0 t/m  4 jaar,"115,94521339967763","570,76"
82,DONGERADEEL,M, 0 t/m  4 jaar,"43,69348259026083","622,64"
83,DORDRECHT,M, 0 t/m  4 jaar,"115,15901194813998","3068,26"
84,DRECHTERLAND,M, 0 t/m  4 jaar,"84,05059069706614","458,78"
85,DRIMMELEN,M, 0 t/m  4 jaar,"68,87597316835812","575,44"
86,DRONTEN,M, 0 t/m  4 jaar,"104,37453914147308","1071,37"
87,DRUTEN,M, 0 t/m  4 jaar,"113,59730904189809","430,33"
88,DUIVEN,M, 0 t/m  4 jaar,"106,61318495562756","567,92"
89,ECHT-SUSTEREN,M, 0 t/m  4 jaar,"145,18070250436395","561,42"
90,EDAM-VOLENDAM,M, 0 t/m  4 jaar,"191,6766845972816","832,84"
91,EDE,M, 0 t/m  4 jaar,"78,52943797987172","2849,72"
92,EEMNES,M, 0 t/m  4 jaar,"92,00178399228543","207,4"
93,EEMSMOND,M, 0 t/m  4 jaar,"93,80585221845968","460,68"
94,EERSEL,M, 0 t/m  4 jaar,"86,52279760676709","387,76"
95,EIJSDEN-MARGRATEN,M, 0 t/m  4 jaar,"185,4979010032493","421,63"
96,EINDHOVEN,M, 0 t/m  4 jaar,"83,05992498339812","5436,13"
97,ELBURG,M, 0 t/m  4 jaar,"75,11313226325211","659,14"
98,EMMEN,M, 0 t/m  4 jaar,"102,26703233376035","2412,03"
99,ENKHUIZEN,M, 0 t/m  4 jaar,"64,2682640163309","484,97"
100,ENSCHEDE,M, 0 t/m  4 jaar,"102,1033186431105","3859,71"
101,EPE,M, 0 t/m  4 jaar,"63,860518270490616","686,9"
102,ERMELO,M, 0 t/m  4 jaar,"95,49843801683267","544,18"
103,ETTEN-LEUR,M, 0 t/m  4 jaar,"148,87369573213948","1114,61"
104,FERWERDERADIEL,M, 0 t/m  4 jaar,"33,97350741538852","236,67"
105,GEERTRUIDENBERG,M, 0 t/m  4 jaar,"84,2024202420242","545,4"
106,GELDERMALSEN,M, 0 t/m  4 jaar,"83,35322573420727","669,77"
107,GELDROP-MIERLO,M, 0 t/m  4 jaar,"112,1259419219185","879,85"
108,GEMERT-BAKEL,M, 0 t/m  4 jaar,"114,08514859557813","735,89"
109,GENNEP,M, 0 t/m  4 jaar,"119,56442556515796","409,62"
110,GIESSENLANDEN,M, 0 t/m  4 jaar,"110,6164191868149","385,89"
111,GILZE EN RIJEN,M, 0 t/m  4 jaar,"65,89590668289954","607,82"
112,GOEREE-OVERFLAKKEE,M, 0 t/m  4 jaar,"115,06167493557267","1140,82"
113,GOES,M, 0 t/m  4 jaar,"103,0047397696707","765,86"
114,GOIRLE,M, 0 t/m  4 jaar,"65,40171887064827","595,74"
115,GOOISE MEREN,M, 0 t/m  4 jaar,"101,58875976426856","1511,89"
116,GORINCHEM,M, 0 t/m  4 jaar,"118,39630510573132","920,73"
117,GOUDA,M, 0 t/m  4 jaar,"122,69825442949008","1906,54"
118,GRAVE,M, 0 t/m  4 jaar,"133,740243902439","311,6"
119,GRONINGEN,M, 0 t/m  4 jaar,"82,83844666663538","4262,06"
120,GROOTEGAST,M, 0 t/m  4 jaar,"67,66550347280476","298,03"
121,GULPEN-WITTEM,M, 0 t/m  4 jaar,"83,84040286655046","206,52"
122,HAAKSBERGEN,M, 0 t/m  4 jaar,"112,58159033215345","559,38"
123,HAAREN,M, 0 t/m  4 jaar,"76,16072779679337","277,55"
124,HAARLEM,M, 0 t/m  4 jaar,"75,80135782361194","4340,77"
125,HAARLEMMERLIEDE CA,M, 0 t/m  4 jaar,"57,973529136657","106,91"
126,HAARLEMMERMEER,M, 0 t/m  4 jaar,"92,9893224727533","4024,34"
127,HALDERBERGE,M, 0 t/m  4 jaar,"88,90145985401459","556,22"
128,HARDENBERG,M, 0 t/m  4 jaar,"86,49780727746828","1603,03"
129,HARDERWIJK,M, 0 t/m  4 jaar,"90,09102701735553","1341,36"
130,HARDINXVELD-GIESSENDAM,M, 0 t/m  4 jaar,"95,54474076338211","523,46"
131,HAREN,M, 0 t/m  4 jaar,"70,85268350332709","389,23"
132,HARLINGEN,M, 0 t/m  4 jaar,"60,340045665868885","363,51"
133,HATTEM,M, 0 t/m  4 jaar,"54,94075030485618","278,82"
134,HEEMSKERK,M, 0 t/m  4 jaar,"105,93149204702628","925,44"
135,HEEMSTEDE,M, 0 t/m  4 jaar,"65,30940427002913","607,49"
136,HEERDE,M, 0 t/m  4 jaar,"45,188452987806244","445,31"
137,HEERENVEEN,M, 0 t/m  4 jaar,"68,96895998684049","1215,85"
138,HEERHUGOWAARD,M, 0 t/m  4 jaar,"71,16786527025158","1590,74"
139,HEERLEN,M, 0 t/m  4 jaar,"126,81817508938943","1756,36"
140,HEEZE-LEENDE,M, 0 t/m  4 jaar,"80,92946530147896","334,02"
141,HEILOO,M, 0 t/m  4 jaar,"113,05439339358318","474,69"
142,HELLENDOORN,M, 0 t/m  4 jaar,"72,29918651946542","860,5"
143,HELLEVOETSLUIS,M, 0 t/m  4 jaar,"98,27596374358414","915,7"
144,HELMOND,M, 0 t/m  4 jaar,"96,72954943043943","2480,86"
145,HENDRIK-IDO-AMBACHT,M, 0 t/m  4 jaar,"163,1238776043937","917,68"
146,HENGELO,M, 0 t/m  4 jaar,"79,74902051048541","1998,49"
147,HEUMEN,M, 0 t/m  4 jaar,"125,3532830081185","351,05"
148,HEUSDEN,M, 0 t/m  4 jaar,"112,9070681276044","1010,31"
149,HILLEGOM,M, 0 t/m  4 jaar,"153,7165767924905","500,7"
150,HILVARENBEEK,M, 0 t/m  4 jaar,"60,953918357061866","317,48"
151,HILVERSUM,M, 0 t/m  4 jaar,"84,59698215453611","2140,6"
152,HOF VAN TWENTE,M, 0 t/m  4 jaar,"70,84606432501059","756,16"
153,HOLLANDS KROON,M, 0 t/m  4 jaar,"80,53744820713648","1143,98"
154,HOOGEVEEN,M, 0 t/m  4 jaar,"107,05117925927878","1516,63"
155,HOORN,M, 0 t/m  4 jaar,"83,66886939621001","1955,15"
156,HORST AAN DE MAAS,M, 0 t/m  4 jaar,"76,84664936063841","936,09"
157,HOUTEN,M, 0 t/m  4 jaar,"78,87677128641204","1533,49"
158,HUIZEN,M, 0 t/m  4 jaar,"99,9370584122147","958,19"
159,HULST,M, 0 t/m  4 jaar,"99,90582868498905","442,81"
160,IJSSELSTEIN,M, 0 t/m  4 jaar,"127,51236752989139","912,47"
161,KAAG EN BRAASSEM,M, 0 t/m  4 jaar,"86,10106786780707","592,77"
162,KAMPEN,M, 0 t/m  4 jaar,"52,32444075202314","1624,95"
163,KAPELLE,M, 0 t/m  4 jaar,"105,22225256718374","366,16"
164,KATWIJK,M, 0 t/m  4 jaar,"98,13753389397031","1818,17"
165,KERKRADE,M, 0 t/m  4 jaar,"112,04650133892189","858,9"
166,KOGGENLAND,M, 0 t/m  4 jaar,"69,85600691768333","531,97"
167,KOLLUMERLAND CA,M, 0 t/m  4 jaar,"176,43334076468622","358,84"
168,KORENDIJK,M, 0 t/m  4 jaar,"198,88050686378037","236,75"
169,KRIMPEN AAN DEN IJSSEL,M, 0 t/m  4 jaar,"86,60764806931061","669,45"
170,KRIMPENERWAARD,M, 0 t/m  4 jaar,"134,38235643329244","1263,35"
171,LAARBEEK,M, 0 t/m  4 jaar,"87,53288978883425","518,55"
172,LANDERD,M, 0 t/m  4 jaar,"95,46487036670531","353,69"
173,LANDGRAAF,M, 0 t/m  4 jaar,"74,00939519349453","688,65"
174,LANDSMEER,M, 0 t/m  4 jaar,"63,935172281224474","208,09"
175,LANGEDIJK,M, 0 t/m  4 jaar,"63,08166059120357","628,21"
176,LANSINGERLAND,M, 0 t/m  4 jaar,"107,29393368669787","2001,71"
177,LAREN,M, 0 t/m  4 jaar,"69,42079561042524","182,25"
178,LEEK,M, 0 t/m  4 jaar,"92,89391330878027","458,87"
179,LEERDAM,M, 0 t/m  4 jaar,"137,2636838425793","486,34"
180,LEEUWARDEN,M, 0 t/m  4 jaar,"84,58282481967856","3007,13"
181,LEIDEN,M, 0 t/m  4 jaar,"97,24416193277818","2811,29"
182,LEIDERDORP,M, 0 t/m  4 jaar,"77,79184093687664","621,64"
183,LEIDSCHENDAM-VOORBURG,M, 0 t/m  4 jaar,"95,05191178050283","1768,77"
184,LELYSTAD,M, 0 t/m  4 jaar,"124,45240200674544","2250,41"
185,LEUDAL,M, 0 t/m  4 jaar,"95,73711008452636","699,19"
186,LEUSDEN,M, 0 t/m  4 jaar,"70,57164609277285","735,56"
187,LINGEWAAL,M, 0 t/m  4 jaar,"94,19717252043296","226,35"
188,LINGEWAARD,M, 0 t/m  4 jaar,"92,08590016746894","1140,51"
189,LISSE,M, 0 t/m  4 jaar,"47,77495459361284","528,56"
190,LOCHEM,M, 0 t/m  4 jaar,"72,97784621667148","587,71"
191,LOON OP ZAND,M, 0 t/m  4 jaar,"61,1672131147541","488,0"
192,LOPIK,M, 0 t/m  4 jaar,"66,77699839670179","349,28"
193,LOPPERSUM,M, 0 t/m  4 jaar,"64,29587621122211","266,26"
194,LOSSER,M, 0 t/m  4 jaar,"121,28561885676113","523,95"
195,MAASDRIEL,M, 0 t/m  4 jaar,"52,0104662547689","592,38"
196,MAASGOUW,M, 0 t/m  4 jaar,"182,61518386714118","379,35"
197,MAASSLUIS,M, 0 t/m  4 jaar,"178,21366910149663","783,08"
198,MAASTRICHT,M, 0 t/m  4 jaar,"103,40685104739329","1889,93"
199,MARUM,M, 0 t/m  4 jaar,"70,82629708032111","250,37"
200,MEDEMBLIK,M, 0 t/m  4 jaar,"66,434829422549","1030,91"
201,MEERSSEN,M, 0 t/m  4 jaar,"118,02002531936932","347,56"
202,MEIERIJSTAD,M, 0 t/m  4 jaar,"137,45795906903388","1851,41"
203,MEPPEL,M, 0 t/m  4 jaar,"110,61747001845018","867,2"
204,MIDDELBURG,M, 0 t/m  4 jaar,"102,7635632777812","1141,87"
205,MIDDEN-DELFLAND,M, 0 t/m  4 jaar,"93,78844587305431","454,21"
206,MIDDEN-DRENTHE,M, 0 t/m  4 jaar,"87,43045746270843","682,46"
207,MIDDEN-GRONINGEN,M, 0 t/m  4 jaar,"89,15581097455427","1444,25"
208,MILL EN SINT HUBERT,M, 0 t/m  4 jaar,"74,99884047629666","224,23"
209,MOERDIJK,M, 0 t/m  4 jaar,"74,9683336688654","844,43"
210,MOLENWAARD,M, 0 t/m  4 jaar,"153,78926489282426","912,52"
211,MONTFERLAND,M, 0 t/m  4 jaar,"147,88941573932757","674,87"
212,MONTFOORT,M, 0 t/m  4 jaar,"80,98535655268844","393,35"
213,MOOK EN MIDDELAAR,M, 0 t/m  4 jaar,"49,20768540669857","133,76"
214,NEDER-BETUWE,M, 0 t/m  4 jaar,"97,7231752762786","622,56"
215,NEDERWEERT,M, 0 t/m  4 jaar,"80,86441257892935","321,49"
216,NEERIJNEN,M, 0 t/m  4 jaar,"59,316669285153175","318,25"
217,NIEUWEGEIN,M, 0 t/m  4 jaar,"84,6415824107363","1540,94"
218,NIEUWKOOP,M, 0 t/m  4 jaar,"61,487426162982","638,23"
219,NIJKERK,M, 0 t/m  4 jaar,"80,77646439179388","1158,16"
220,NIJMEGEN,M, 0 t/m  4 jaar,"91,40087165231682","3845,57"
221,NISSEWAARD,M, 0 t/m  4 jaar,"98,66237636899963","1959,46"
222,NOORD-BEVELAND,M, 0 t/m  4 jaar,"228,78656096640242","132,45"
223,NOORDENVELD,M, 0 t/m  4 jaar,"78,33685129702955","664,21"
224,NOORDOOSTPOLDER,M, 0 t/m  4 jaar,"61,15456762615921","1328,48"
225,NOORDWIJK,M, 0 t/m  4 jaar,"89,11871980048839","577,41"
226,NOORDWIJKERHOUT,M, 0 t/m  4 jaar,"81,0581411718332","355,17"
227,NUENEN CA,M, 0 t/m  4 jaar,"125,97917365724896","447,03"
228,NUNSPEET,M, 0 t/m  4 jaar,"104,50360292609558","731,35"
229,NUTH,M, 0 t/m  4 jaar,"83,10648606592163","282,76"
230,OEGSTGEEST,M, 0 t/m  4 jaar,"55,74049273078852","558,52"
231,OIRSCHOT,M, 0 t/m  4 jaar,"150,3462451014369","375,11"
232,OISTERWIJK,M, 0 t/m  4 jaar,"127,89609319399182","533,94"
233,OLDAMBT,M, 0 t/m  4 jaar,"113,52409746598683","780,58"
234,OLDEBROEK,M, 0 t/m  4 jaar,"44,00404618880139","642,58"
235,OLDENZAAL,M, 0 t/m  4 jaar,"105,84080639555091","863,1"
236,OLST-WIJHE,M, 0 t/m  4 jaar,"44,305109886034955","404,51"
237,OMMEN,M, 0 t/m  4 jaar,"58,01906764970994","432,67"
238,ONDERBANKEN,M, 0 t/m  4 jaar,"73,75173624970064","125,27"
239,OOST GELRE,M, 0 t/m  4 jaar,"100,10624526711341","699,89"
240,OOSTERHOUT,M, 0 t/m  4 jaar,"73,27276908181378","1239,4"
241,OOSTSTELLINGWERF,M, 0 t/m  4 jaar,"77,28219888003895","575,02"
242,OOSTZAAN,M, 0 t/m  4 jaar,"43,56607600341588","187,36"
243,OPMEER,M, 0 t/m  4 jaar,"115,19597915665769","270,59"
244,OPSTERLAND,M, 0 t/m  4 jaar,"49,05580883070532","717,27"
245,OSS,M, 0 t/m  4 jaar,"101,91173371019518","2059,11"
246,OUD-BEIJERLAND,M, 0 t/m  4 jaar,"87,67767973856209","612,0"
247,OUDE IJSSELSTREEK,M, 0 t/m  4 jaar,"104,25464867056711","863,15"
248,OUDER-AMSTEL,M, 0 t/m  4 jaar,"89,11657565049791","311,3"
249,OUDEWATER,M, 0 t/m  4 jaar,"92,8646863332376","243,73"
250,OVERBETUWE,M, 0 t/m  4 jaar,"90,19099676874376","1219,34"
251,PAPENDRECHT,M, 0 t/m  4 jaar,"165,13226251123763","834,25"
252,PEEL EN MAAS,M, 0 t/m  4 jaar,"118,21275954814416","929,5"
253,PEKELA,M, 0 t/m  4 jaar,"135,01409492934917","283,79"
254,PIJNACKER-NOOTDORP,M, 0 t/m  4 jaar,"103,70988563371455","1595,75"
255,PURMEREND,M, 0 t/m  4 jaar,"91,12932468905645","1796,95"
256,PUTTEN,M, 0 t/m  4 jaar,"101,79472067490704","680,39"
257,RAALTE,M, 0 t/m  4 jaar,"99,14643409762272","853,08"
258,REIMERSWAAL,M, 0 t/m  4 jaar,"93,06035806327795","729,48"
259,RENKUM,M, 0 t/m  4 jaar,"64,44748246789064","634,55"
260,RENSWOUDE,M, 0 t/m  4 jaar,"64,33940215636905","154,89"
261,REUSEL-DE MIERDEN,M, 0 t/m  4 jaar,"93,45959595959596","326,7"
262,RHEDEN,M, 0 t/m  4 jaar,"68,17892236867283","888,43"
263,RHENEN,M, 0 t/m  4 jaar,"81,43651652812682","517,3"
264,RIDDERKERK,M, 0 t/m  4 jaar,"109,10670746421367","1036,01"
265,RIJSSEN-HOLTEN,M, 0 t/m  4 jaar,"97,68077760574926","1207,81"
266,RIJSWIJK,M, 0 t/m  4 jaar,"113,83105960675302","1129,57"
267,ROERDALEN,M, 0 t/m  4 jaar,"143,11652563971862","392,36"
268,ROERMOND,M, 0 t/m  4 jaar,"139,57789509927693","1306,95"
269,ROOSENDAAL,M, 0 t/m  4 jaar,"133,3711805612281","1836,33"
270,ROTTERDAM,M, 0 t/m  4 jaar,"117,20336423368225","17143,28"
271,ROZENDAAL,M, 0 t/m  4 jaar,"27,89749911940824","28,39"
272,RUCPHEN,M, 0 t/m  4 jaar,"161,4556704653848","398,38"
273,S GRAVENHAGE,M, 0 t/m  4 jaar,"104,5137894676173","14747,85"
274,S HERTOGENBOSCH,M, 0 t/m  4 jaar,"90,63437371579904","3942,14"
275,SCHAGEN,M, 0 t/m  4 jaar,"69,60216294035003","1153,06"
276,SCHERPENZEEL,M, 0 t/m  4 jaar,"66,04036865732553","294,04"
277,SCHIEDAM,M, 0 t/m  4 jaar,"148,9474034553358","1983,02"
278,SCHIERMONNIKOOG,M, 0 t/m  4 jaar,"261,12438084755087","18,17"
279,SCHINNEN,M, 0 t/m  4 jaar,"96,53128173429289","226,49"
280,SCHOUWEN-DUIVELAND,M, 0 t/m  4 jaar,"76,40376201128322","710,79"
281,SIMPELVELD,M, 0 t/m  4 jaar,"131,43413786050317","195,56"
282,SINT ANTHONIS,M, 0 t/m  4 jaar,"85,07031736154325","241,05"
283,SINT-MICHIELSGESTEL,M, 0 t/m  4 jaar,"125,9206449719678","647,47"
284,SITTARD-GELEEN,M, 0 t/m  4 jaar,"108,06332510170893","1826,29"
285,SLIEDRECHT,M, 0 t/m  4 jaar,"168,79383952675292","677,87"
286,SLUIS,M, 0 t/m  4 jaar,"98,35888214580054","400,41"
287,SMALLINGERLAND,M, 0 t/m  4 jaar,"80,89530140609774","1436,6"
288,SOEST,M, 0 t/m  4 jaar,"106,3700734553861","1072,76"
289,SOMEREN,M, 0 t/m  4 jaar,"91,761407156144","365,56"
290,SON EN BREUGEL,M, 0 t/m  4 jaar,"83,89955668144395","394,75"
291,STADSKANAAL,M, 0 t/m  4 jaar,"139,83979996306135","703,87"
292,STAPHORST,M, 0 t/m  4 jaar,"30,02088622409478","555,39"
293,STEDE BROEC,M, 0 t/m  4 jaar,"97,32205798188313","506,71"
294,STEENBERGEN,M, 0 t/m  4 jaar,"99,54104428536536","532,23"
295,STEENWIJKERLAND,M, 0 t/m  4 jaar,"52,37813274300337","984,76"
296,STEIN,M, 0 t/m  4 jaar,"80,43052559209123","421,81"
297,STICHTSE VECHT,M, 0 t/m  4 jaar,"83,40546541314265","1652,94"
298,STRIJEN,M, 0 t/m  4 jaar,"116,35933347698054","139,23"
299,SUDWEST-FRYSLAN,M, 0 t/m  4 jaar,"76,4831083484509","2249,04"
300,TEN BOER,M, 0 t/m  4 jaar,"105,19794431308208","207,23"
301,TERNEUZEN,M, 0 t/m  4 jaar,"96,92949340236581","1112,52"
302,TERSCHELLING,M, 0 t/m  4 jaar,"107,60540049920581","88,14"
303,TEXEL,M, 0 t/m  4 jaar,"120,87725075025008","239,92"
304,TEYLINGEN,M, 0 t/m  4 jaar,"87,53914856265087","911,4"
305,THOLEN,M, 0 t/m  4 jaar,"133,76861048284","711,83"
306,TIEL,M, 0 t/m  4 jaar,"110,66105561009414","1039,02"
307,TILBURG,M, 0 t/m  4 jaar,"88,30988249619246","5141,11"
308,TUBBERGEN,M, 0 t/m  4 jaar,"64,83079400929338","540,17"
309,TWENTERAND,M, 0 t/m  4 jaar,"114,5231140411843","1007,18"
310,TYNAARLO,M, 0 t/m  4 jaar,"92,49881903201583","732,45"
311,TYTSJERKSTERADIEL,M, 0 t/m  4 jaar,"43,97037373440548","748,66"
312,UDEN,M, 0 t/m  4 jaar,"136,57213637531032","934,48"
313,UITGEEST,M, 0 t/m  4 jaar,"39,37559836207394","346,78"
314,UITHOORN,M, 0 t/m  4 jaar,"69,67721528046145","698,67"
315,URK,M, 0 t/m  4 jaar,"63,642850520362515","862,86"
316,UTRECHT,M, 0 t/m  4 jaar,"110,38468562305917","10272,7"
317,UTRECHTSE HEUVELRUG,M, 0 t/m  4 jaar,"76,03058769743217","918,67"
318,VAALS,M, 0 t/m  4 jaar,"90,04967809291804","114,94"
319,VALKENBURG AAN DE GEUL,M, 0 t/m  4 jaar,"78,01303261774608","276,23"
320,VALKENSWAARD,M, 0 t/m  4 jaar,"54,314119191725105","624,54"
321,VEENDAM,M, 0 t/m  4 jaar,"141,67042350751868","666,34"
322,VEENENDAAL,M, 0 t/m  4 jaar,"69,51613208861642","1794,25"
323,VEERE,M, 0 t/m  4 jaar,"131,41827501107386","474,09"
324,VELDHOVEN,M, 0 t/m  4 jaar,"77,82426254149182","958,02"
325,VELSEN,M, 0 t/m  4 jaar,"77,87920393176557","1399,88"
326,VENLO,M, 0 t/m  4 jaar,"100,39995925397737","2159,72"
327,VENRAY,M, 0 t/m  4 jaar,"110,08698331193838","973,75"
328,VIANEN,M, 0 t/m  4 jaar,"89,12209758946372","496,57"
329,VLAARDINGEN,M, 0 t/m  4 jaar,"155,88907777555556","1700,02"
330,VLIELAND,M, 0 t/m  4 jaar,"22,927072927072928","20,02"
331,VLISSINGEN,M, 0 t/m  4 jaar,"103,5023615460731","980,29"
332,VOERENDAAL,M, 0 t/m  4 jaar,"87,49230835523765","232,07"
333,VOORSCHOTEN,M, 0 t/m  4 jaar,"76,94283634010193","618,05"
334,VOORST,M, 0 t/m  4 jaar,"166,7296258530081","509,96"
335,VUGHT,M, 0 t/m  4 jaar,"81,10908667287978","643,8"
336,WAADHOEKE,M, 0 t/m  4 jaar,"87,15776757670935","1117,53"
337,WAALRE,M, 0 t/m  4 jaar,"73,36518915866742","425,04"
338,WAALWIJK,M, 0 t/m  4 jaar,"66,45783333487773","1079,17"
339,WADDINXVEEN,M, 0 t/m  4 jaar,"104,1961881913901","600,24"
340,WAGENINGEN,M, 0 t/m  4 jaar,"60,29968475151001","754,96"
341,WASSENAAR,M, 0 t/m  4 jaar,"85,6445623921543","457,83"
342,WATERLAND,M, 0 t/m  4 jaar,"85,76694960212201","377,0"
343,WEERT,M, 0 t/m  4 jaar,"113,05915543683783","999,57"
344,WEESP,M, 0 t/m  4 jaar,"56,10636717607076","444,31"
345,WERKENDAM,M, 0 t/m  4 jaar,"98,76860273277211","709,17"
