GEMEENTENAAM,KOSTEN_FARMACIE / AANTAL_VERZEKERDEJAREN
KRIMPEN AAN DEN IJSSEL,"287,1056101825507"
KRIMPENERWAARD,"262,656536406145"
LAARBEEK,"269,4634077031981"
LANDERD,"262,50766024238646"
LANDGRAAF,"333,50642858742714"
LANDSMEER,"263,02501071777795"
LANGEDIJK,"215,14466778334034"
LANSINGERLAND,"218,12203449505347"
LAREN,"295,4608660510083"
LEEK,"246,16927098040145"
LEERDAM,"326,84519933069515"
LEEUWARDEN,"260,13030142756406"
LEIDEN,"246,69144941806763"
LEIDERDORP,"283,6917789156983"
LEIDSCHENDAM-VOORBURG,"306,2529573727227"
LELYSTAD,"297,18735938722904"
LEUDAL,"278,0734615458531"
LEUSDEN,"249,60323635330283"
LINGEWAAL,"239,0705076828787"
LINGEWAARD,"250,22777621826933"
LISSE,"257,0398201681599"
LOCHEM,"253,16125714950394"
LOON OP ZAND,"292,19552909597303"
LOPIK,"232,9467772604888"
LOPPERSUM,"308,6182045305729"
LOSSER,"272,42307821631033"
MAASDRIEL,"244,61268697649413"
MAASGOUW,"327,4356598799811"
MAASSLUIS,"302,02516191012273"
MAASTRICHT,"355,4062583083594"
MARUM,"249,24314525288258"
MEDEMBLIK,"251,84007045374955"
MEERSSEN,"366,07758220095815"
MEIERIJSTAD,"269,05800173606906"
MEPPEL,"300,5958214612614"
MIDDELBURG,"267,1609095131985"
MIDDEN-DELFLAND,"217,3592499979277"
MIDDEN-DRENTHE,"279,35711390535477"
MIDDEN-GRONINGEN,"309,7056534038698"
MILL EN SINT HUBERT,"281,5837537705882"
MOERDIJK,"290,7303763428419"
MOLENWAARD,"221,1556031507691"
MONTFERLAND,"302,0699780938292"
MONTFOORT,"214,23003203148778"
MOOK EN MIDDELAAR,"246,11161705724942"
NEDER-BETUWE,"303,5047253212236"
NEDERWEERT,"272,1927801140608"
NEERIJNEN,"227,91517668614716"
NIEUWEGEIN,"277,5029182250862"
NIEUWKOOP,"239,1077841423061"
NIJKERK,"246,44947884673752"
NIJMEGEN,"259,119962102927"
NISSEWAARD,"308,2995167280002"
NOORD-BEVELAND,"340,84181086867676"
NOORDENVELD,"262,83384105996635"
NOORDOOSTPOLDER,"249,73119161268818"
NOORDWIJK,"250,78551209628264"
NOORDWIJKERHOUT,"267,3863716176756"
NUENEN CA,"258,9892121255549"
NUNSPEET,"271,8750981300483"
NUTH,"348,2307888651893"
OEGSTGEEST,"251,6973210550025"
OIRSCHOT,"258,76414799567266"
OISTERWIJK,"311,2156937649222"
OLDAMBT,"353,982908502655"
OLDEBROEK,"253,31543816250345"
OLDENZAAL,"272,30847145314834"
OLST-WIJHE,"260,82754398194083"
OMMEN,"243,30277547280363"
ONDERBANKEN,"300,63044170647885"
OOST GELRE,"256,3716606611279"
OOSTERHOUT,"286,9622911788214"
OOSTSTELLINGWERF,"278,80492632701186"
OOSTZAAN,"271,5396381692981"
OPMEER,"252,38230297834508"
OPSTERLAND,"256,684101924904"
OSS,"299,9774443367738"
OUD-BEIJERLAND,"276,6671964065643"
OUDE IJSSELSTREEK,"283,5571918476622"
OUDER-AMSTEL,"255,69533440679834"
OUDEWATER,"287,26303138340666"
OVERBETUWE,"265,8767699070845"
PAPENDRECHT,"293,5988269765348"
PEEL EN MAAS,"273,0247001264833"
PEKELA,"356,18972092881995"
PIJNACKER-NOOTDORP,"222,71860365839828"
