,GEMEENTENAAM,GESLACHT,LEEFTIJDSKLASSE,KOSTEN_FARMACIE per AANTAL_VERZEKERDEJAREN,AANTAL_VERZEKERDEJAREN
0,AA EN HUNZE,M, 0 t/m  4 jaar,"92,36928097604675","468,83"
1,AALBURG,M, 0 t/m  4 jaar,"60,4107105969841","387,28"
2,AALSMEER,M, 0 t/m  4 jaar,"69,05396825396825","790,65"
3,AALTEN,M, 0 t/m  4 jaar,"72,52785","600,0"
4,ACHTKARSPELEN,M, 0 t/m  4 jaar,"119,51231293163102","737,03"
5,ALBLASSERDAM,M, 0 t/m  4 jaar,"249,86297464407264","561,21"
6,ALBRANDSWAARD,M, 0 t/m  4 jaar,"172,15112632309038","663,22"
7,ALKMAAR,M, 0 t/m  4 jaar,"97,31053052880009","2660,93"
8,ALMELO,M, 0 t/m  4 jaar,"148,70624566232948","1714,63"
9,ALMERE,M, 0 t/m  4 jaar,"113,75871561755383","5619,51"
10,ALPHEN AAN DEN RIJN,M, 0 t/m  4 jaar,"105,30440814195869","2796,87"
11,ALPHEN-CHAAM,M, 0 t/m  4 jaar,"54,04191037849857","206,87"
12,AMELAND,M, 0 t/m  4 jaar,"44,29687500000001","91,52"
13,AMERSFOORT,M, 0 t/m  4 jaar,"73,16713705467501","4453,77"
14,AMSTELVEEN,M, 0 t/m  4 jaar,"80,55926555088325","2154,54"
15,AMSTERDAM,M, 0 t/m  4 jaar,"83,31433372524143","22054,49"
16,APELDOORN,M, 0 t/m  4 jaar,"91,02805077695177","3726,1"
17,APPINGEDAM,M, 0 t/m  4 jaar,"66,54430884581637","250,74"
18,ARNHEM,M, 0 t/m  4 jaar,"117,34152410575427","4050,9"
19,ASSEN,M, 0 t/m  4 jaar,"81,5288455265265","1686,05"
20,ASTEN,M, 0 t/m  4 jaar,"88,92933214998891","360,56"
21,BAARLE-NASSAU,M, 0 t/m  4 jaar,"47,75426125506382","130,83"
22,BAARN,M, 0 t/m  4 jaar,"76,17382808998835","557,85"
23,BARENDRECHT,M, 0 t/m  4 jaar,"115,3281180983378","1290,45"
24,BARNEVELD,M, 0 t/m  4 jaar,"78,83683179090309","1801,27"
25,BEDUM,M, 0 t/m  4 jaar,"87,87002440292835","249,97"
26,BEEK,M, 0 t/m  4 jaar,"162,37141049523743","284,51"
27,BEEMSTER,M, 0 t/m  4 jaar,"112,45249740625462","202,41"
28,BEESEL,M, 0 t/m  4 jaar,"244,638506189244","285,98"
29,BERG EN DAL,M, 0 t/m  4 jaar,"86,83847109910849","651,71"
30,BERGEIJK,M, 0 t/m  4 jaar,"129,2584401440898","358,11"
31,BERGEN LB,M, 0 t/m  4 jaar,"81,89151625390608","214,41"
32,BERGEN NH,M, 0 t/m  4 jaar,"75,84106847180286","410,68"
33,BERGEN OP ZOOM,M, 0 t/m  4 jaar,"128,55033530203846","1500,14"
34,BERKELLAND,M, 0 t/m  4 jaar,"103,75220141671355","871,03"
35,BERNHEZE,M, 0 t/m  4 jaar,"109,29189525814775","674,42"
36,BEST,M, 0 t/m  4 jaar,"84,33823925903606","630,53"
37,BEUNINGEN,M, 0 t/m  4 jaar,"81,66573311995123","524,88"
38,BEVERWIJK,M, 0 t/m  4 jaar,"80,96437421957545","1041,1"
39,BINNENMAAS,M, 0 t/m  4 jaar,"97,50818647052047","607,71"
40,BLADEL,M, 0 t/m  4 jaar,"54,6813060828538","453,57"
41,BLARICUM,M, 0 t/m  4 jaar,"82,70359951776796","174,19"
42,BLOEMENDAAL,M, 0 t/m  4 jaar,"70,60884811890385","430,6"
43,BODEGRAVEN-REEUWIJK,M, 0 t/m  4 jaar,"134,13467420520902","863,12"
44,BOEKEL,M, 0 t/m  4 jaar,"35,59692971935716","208,45"
45,BORGER-ODOORN,M, 0 t/m  4 jaar,"108,58746334463325","480,83"
46,BORNE,M, 0 t/m  4 jaar,"160,50774380314817","552,7"
47,BORSELE,M, 0 t/m  4 jaar,"108,64437951829792","533,94"
48,BOXMEER,M, 0 t/m  4 jaar,"71,67419836228667","522,68"
49,BOXTEL,M, 0 t/m  4 jaar,"63,21047054171609","632,25"
50,BREDA,M, 0 t/m  4 jaar,"93,65589513819178","4343,24"
51,BRIELLE,M, 0 t/m  4 jaar,"82,5342643051771","293,6"
52,BRONCKHORST,M, 0 t/m  4 jaar,"134,82840113770732","625,82"
53,BRUMMEN,M, 0 t/m  4 jaar,"94,14417138936186","393,49"
54,BRUNSSUM,M, 0 t/m  4 jaar,"139,59064195690237","576,83"
55,BUNNIK,M, 0 t/m  4 jaar,"85,89780327490774","346,88"
56,BUNSCHOTEN,M, 0 t/m  4 jaar,"114,27850735444815","634,31"
57,BUREN,M, 0 t/m  4 jaar,"87,18428452139536","586,81"
58,CAPELLE AAN DEN IJSSEL,M, 0 t/m  4 jaar,"89,2287131938062","1719,14"
59,CASTRICUM,M, 0 t/m  4 jaar,"81,89000861051758","627,14"
60,COEVORDEN,M, 0 t/m  4 jaar,"82,57156017914849","705,56"
61,CRANENDONCK,M, 0 t/m  4 jaar,"114,9898224533716","446,08"
62,CROMSTRIJEN,M, 0 t/m  4 jaar,"121,18932855061092","267,63"
63,CUIJK,M, 0 t/m  4 jaar,"101,76803897085979","568,63"
64,CULEMBORG,M, 0 t/m  4 jaar,"93,20485175202157","716,03"
65,DALFSEN,M, 0 t/m  4 jaar,"40,73639753566796","616,8"
66,DANTUMADIEL,M, 0 t/m  4 jaar,"121,6407662505381","418,14"
67,DE BILT,M, 0 t/m  4 jaar,"93,45290796958787","919,37"
68,DE FRYSKE MARREN,M, 0 t/m  4 jaar,"83,24820412619965","1218,07"
69,DE MARNE,M, 0 t/m  4 jaar,"94,33305554193832","203,99"
70,DE RONDE VENEN,M, 0 t/m  4 jaar,"76,82664258145589","891,28"
71,DE WOLDEN,M, 0 t/m  4 jaar,"77,4208729522282","436,45"
72,DELFT,M, 0 t/m  4 jaar,"98,01647563780543","2078,22"
73,DELFZIJL,M, 0 t/m  4 jaar,"126,8406024201271","459,48"
74,DEN HELDER,M, 0 t/m  4 jaar,"93,53107444525706","1244,27"
75,DEURNE,M, 0 t/m  4 jaar,"84,30443736613763","728,36"
76,DEVENTER,M, 0 t/m  4 jaar,"89,99806952958559","2450,18"
77,DIEMEN,M, 0 t/m  4 jaar,"57,06458708919799","604,61"
78,DINKELLAND,M, 0 t/m  4 jaar,"104,341555287864","522,99"
79,DOESBURG,M, 0 t/m  4 jaar,"180,1225624202661","219,48"
80,DOETINCHEM,M, 0 t/m  4 jaar,"147,05612224616192","1257,79"
81,DONGEN,M, 0 t/m  4 jaar,"83,51360651188605","540,55"
82,DONGERADEEL,M, 0 t/m  4 jaar,"58,230869361473175","576,17"
83,DORDRECHT,M, 0 t/m  4 jaar,"97,05581339063485","3057,51"
84,DRECHTERLAND,M, 0 t/m  4 jaar,"73,87822157365783","424,87"
85,DRIMMELEN,M, 0 t/m  4 jaar,"63,588697437728776","560,05"
86,DRONTEN,M, 0 t/m  4 jaar,"77,03893521678488","1010,91"
87,DRUTEN,M, 0 t/m  4 jaar,"99,53195266272189","371,8"
88,DUIVEN,M, 0 t/m  4 jaar,"151,72430680855763","543,14"
89,ECHT-SUSTEREN,M, 0 t/m  4 jaar,"160,01889934694336","534,41"
90,EDAM-VOLENDAM,M, 0 t/m  4 jaar,"156,65909389535648","761,06"
91,EDE,M, 0 t/m  4 jaar,"87,93618302016876","2857,39"
92,EEMNES,M, 0 t/m  4 jaar,"44,7264295067656","183,28"
93,EEMSMOND,M, 0 t/m  4 jaar,"69,1467361090792","341,77"
94,EERSEL,M, 0 t/m  4 jaar,"71,47054762365028","362,11"
95,EIJSDEN-MARGRATEN,M, 0 t/m  4 jaar,"198,4574133970843","426,66"
96,EINDHOVEN,M, 0 t/m  4 jaar,"94,22371567820149","5076,22"
97,ELBURG,M, 0 t/m  4 jaar,"70,33794002989711","682,34"
98,EMMEN,M, 0 t/m  4 jaar,"97,28235347797322","2191,65"
99,ENKHUIZEN,M, 0 t/m  4 jaar,"107,54237804214968","459,79"
100,ENSCHEDE,M, 0 t/m  4 jaar,"117,10647669715017","3725,51"
101,EPE,M, 0 t/m  4 jaar,"52,08262727977974","657,41"
102,ERMELO,M, 0 t/m  4 jaar,"107,74064190805697","543,38"
103,ETTEN-LEUR,M, 0 t/m  4 jaar,"100,28426552241326","1006,77"
104,FERWERDERADIEL,M, 0 t/m  4 jaar,"71,12062040676807","234,04"
105,GEERTRUIDENBERG,M, 0 t/m  4 jaar,"86,27880773975","543,17"
106,GELDERMALSEN,M, 0 t/m  4 jaar,"89,55736257988592","611,81"
107,GELDROP-MIERLO,M, 0 t/m  4 jaar,"167,88997762183067","920,54"
108,GEMERT-BAKEL,M, 0 t/m  4 jaar,"121,54186321595006","701,69"
109,GENNEP,M, 0 t/m  4 jaar,"78,37561638723778","375,17"
110,GIESSENLANDEN,M, 0 t/m  4 jaar,"71,78134577310081","368,71"
111,GILZE EN RIJEN,M, 0 t/m  4 jaar,"81,26590259875984","574,12"
112,GOEREE-OVERFLAKKEE,M, 0 t/m  4 jaar,"105,46954582580047","1089,67"
113,GOES,M, 0 t/m  4 jaar,"111,77777051665772","765,11"
114,GOIRLE,M, 0 t/m  4 jaar,"93,11397320671527","589,7"
115,GOOISE MEREN,M, 0 t/m  4 jaar,"88,41109322611709","1422,67"
116,GORINCHEM,M, 0 t/m  4 jaar,"91,11607946902063","899,47"
117,GOUDA,M, 0 t/m  4 jaar,"139,13001105194417","1891,07"
118,GRAVE,M, 0 t/m  4 jaar,"104,02627490246176","289,63"
119,GRONINGEN,M, 0 t/m  4 jaar,"87,0958889258479","4058,55"
120,GROOTEGAST,M, 0 t/m  4 jaar,"110,62260087653014","264,68"
121,GULPEN-WITTEM,M, 0 t/m  4 jaar,"93,09854542361347","235,12"
122,HAAKSBERGEN,M, 0 t/m  4 jaar,"104,38662338410711","520,61"
123,HAAREN,M, 0 t/m  4 jaar,"85,26029285099052","232,2"
124,HAARLEM,M, 0 t/m  4 jaar,"74,83249282524974","4463,57"
125,HAARLEMMERLIEDE CA,M, 0 t/m  4 jaar,"54,82213316892725","97,32"
126,HAARLEMMERMEER,M, 0 t/m  4 jaar,"83,21657948998063","3496,73"
127,HALDERBERGE,M, 0 t/m  4 jaar,"143,29344992308316","617,55"
128,HARDENBERG,M, 0 t/m  4 jaar,"83,20600073652452","1547,81"
129,HARDERWIJK,M, 0 t/m  4 jaar,"149,39297059817505","1331,55"
130,HARDINXVELD-GIESSENDAM,M, 0 t/m  4 jaar,"184,36958825607408","509,54"
131,HAREN,M, 0 t/m  4 jaar,"61,98590871597471","436,44"
132,HARLINGEN,M, 0 t/m  4 jaar,"74,60561783985787","326,46"
133,HATTEM,M, 0 t/m  4 jaar,"57,75790659998591","283,94"
134,HEEMSKERK,M, 0 t/m  4 jaar,"123,08493834003049","866,04"
135,HEEMSTEDE,M, 0 t/m  4 jaar,"88,98598861032016","575,96"
136,HEERDE,M, 0 t/m  4 jaar,"48,646767221125835","425,64"
137,HEERENVEEN,M, 0 t/m  4 jaar,"63,931872446984634","1202,01"
138,HEERHUGOWAARD,M, 0 t/m  4 jaar,"90,58418225348902","1491,11"
139,HEERLEN,M, 0 t/m  4 jaar,"176,89658567646765","1696,09"
140,HEEZE-LEENDE,M, 0 t/m  4 jaar,"114,4690221907605","324,91"
141,HEILOO,M, 0 t/m  4 jaar,"79,94168818471258","398,89"
142,HELLENDOORN,M, 0 t/m  4 jaar,"63,91626741895474","822,38"
143,HELLEVOETSLUIS,M, 0 t/m  4 jaar,"159,79973952882622","859,98"
144,HELMOND,M, 0 t/m  4 jaar,"106,24251107623748","2306,74"
145,HENDRIK-IDO-AMBACHT,M, 0 t/m  4 jaar,"109,19040161331846","932,24"
