GEMEENTENAAM,KOSTEN_FARMACIE per AANTAL_VERZEKERDEJAREN
AA EN HUNZE,"248,5677918634349"
AALBURG,"255,82494961370506"
AALSMEER,"241,0319328856373"
AALTEN,"265,3130807236639"
ACHTKARSPELEN,"248,90215551871512"
ALBLASSERDAM,"287,45315029908136"
ALBRANDSWAARD,"221,8186679655887"
ALKMAAR,"233,3263114629412"
ALMELO,"294,4894940182693"
ALMERE,"231,43165781709564"
ALPHEN AAN DEN RIJN,"238,74610094692898"
ALPHEN-CHAAM,"235,52285248353652"
AMELAND,"199,8459256893188"
AMERSFOORT,"233,32869205231637"
AMSTELVEEN,"252,66999971306467"
AMSTERDAM,"290,44898328237133"
APELDOORN,"258,6580998200946"
APPINGEDAM,"341,0110406017295"
ARNHEM,"259,82256892734256"
ASSEN,"234,92463922006576"
ASTEN,"222,9141514433944"
BAARLE-NASSAU,"320,1496417158004"
BAARN,"257,17742083395643"
BARENDRECHT,"225,1976114253903"
BARNEVELD,"216,78116186996883"
BEDUM,"240,18772418833072"
BEEK,"277,7727855484012"
BEEMSTER,"207,05616848624587"
BEESEL,"272,94497913421867"
BERG EN DAL,"277,85126180741565"
BERGEIJK,"234,180874204212"
BERGEN LB,"290,09363721841123"
BERGEN NH,"234,84776646633952"
BERGEN OP ZOOM,"300,6379770970821"
BERKELLAND,"252,088953917305"
BERNHEZE,"250,4899846219639"
BEST,"264,81237874639885"
BEUNINGEN,"235,51368884386864"
BEVERWIJK,"271,8005807486023"
BINNENMAAS,"257,15031336227355"
BLADEL,"264,50327306210437"
BLARICUM,"248,2955490143413"
BLOEMENDAAL,"241,14352515596377"
BODEGRAVEN-REEUWIJK,"235,91699361917716"
BOEKEL,"236,68086389223015"
BORGER-ODOORN,"284,77338996972577"
BORNE,"277,60216244340296"
BORSELE,"217,92619481034166"
BOXMEER,"259,46211308107615"
BOXTEL,"244,82516474983908"
BREDA,"256,4765405712531"
BRIELLE,"276,52366250641796"
BRONCKHORST,"277,26550874470155"
BRUMMEN,"269,6906274902143"
BRUNSSUM,"321,9037244540473"
BUNNIK,"249,97283748716103"
BUNSCHOTEN,"213,97567761313837"
BUREN,"242,85957540773063"
CAPELLE AAN DEN IJSSEL,"266,8257107728684"
CASTRICUM,"244,20414715093452"
COEVORDEN,"282,4068670229634"
CRANENDONCK,"272,4232851095864"
CROMSTRIJEN,"267,9970789897703"
CUIJK,"257,27686542604835"
CULEMBORG,"231,61527435751034"
DALFSEN,"241,87035539533812"
DANTUMADIEL,"270,20508502599125"
DE BILT,"250,00310323282687"
DE FRYSKE MARREN,"246,18209487300177"
DE MARNE,"321,94695151034955"
DE RONDE VENEN,"231,10043371116933"
DE WOLDEN,"255,8424964557987"
DELFT,"262,02697494871603"
DELFZIJL,"336,8898948333578"
DEN HELDER,"290,2729340921223"
DEURNE,"239,06358645608424"
DEVENTER,"264,4306023661149"
DIEMEN,"248,16181112863524"
DINKELLAND,"222,63162223094156"
DOESBURG,"300,61634115541443"
DOETINCHEM,"275,89640585335803"
DONGEN,"246,85858507773446"
DONGERADEEL,"271,21688795242363"
DORDRECHT,"274,7015890897139"
DRECHTERLAND,"185,89284895396727"
DRIMMELEN,"248,73365928500488"
DRONTEN,"242,50630244152833"
DRUTEN,"256,42789064404036"
DUIVEN,"250,9625157488172"
ECHT-SUSTEREN,"299,87771433981914"
EDAM-VOLENDAM,"265,25531652827493"
EDE,"240,16995229454946"
EEMNES,"222,50178219770436"
EEMSMOND,"299,72892576741884"
EERSEL,"231,21126218573625"
EIJSDEN-MARGRATEN,"285,59315215186797"
EINDHOVEN,"271,64690228457863"
ELBURG,"245,16635436241506"
EMMEN,"294,65797461494896"
ENKHUIZEN,"243,38900813301046"
ENSCHEDE,"260,1700435874056"
EPE,"308,1127545308127"
ERMELO,"258,1701255905075"
ETTEN-LEUR,"246,36914755033652"
FERWERDERADIEL,"205,5984365995639"
GEERTRUIDENBERG,"261,1508648066367"
GELDERMALSEN,"253,71642429903886"
