GEMEENTENAAM,KOSTEN_FARMACIE per AANTAL_VERZEKERDEJAREN
AA EN HUNZE,"251,0552935716459"
AALBURG,"241,6202667728449"
AALSMEER,"234,8314881315167"
AALTEN,"266,29277150319166"
ACHTKARSPELEN,"266,0956003547869"
ALBLASSERDAM,"288,3074629016734"
ALBRANDSWAARD,"231,63713970506763"
ALKMAAR,"232,01906666533577"
ALMELO,"313,98032336009265"
ALMERE,"242,78907946211646"
ALPHEN AAN DEN RIJN,"251,9579330803315"
ALPHEN-CHAAM,"230,22490665113833"
AMELAND,"212,46892707615228"
AMERSFOORT,"234,864049011098"
AMSTELVEEN,"261,8318185439969"
AMSTERDAM,"313,04022008398795"
APELDOORN,"267,7047317087628"
APPINGEDAM,"357,0543999035747"
ARNHEM,"276,0248310883763"
ASSEN,"248,60730242259132"
ASTEN,"228,87738747511509"
BAARLE-NASSAU,"310,16612298410274"
BAARN,"236,34721531372256"
BARENDRECHT,"243,1361954129857"
BARNEVELD,"213,28674988727926"
BEDUM,"261,61925007506176"
BEEK,"296,24651367107845"
BEEMSTER,"226,37609797344598"
BEESEL,"289,83904617721845"
BERG EN DAL,"281,1455145226801"
BERGEIJK,"234,15931289308438"
BERGEN LB,"284,9960047769307"
BERGEN NH,"249,0190685545019"
BERGEN OP ZOOM,"320,29015477081634"
BERKELLAND,"271,46550630351584"
BERNHEZE,"257,95199784769113"
BEST,"252,79644514405285"
BEUNINGEN,"252,90841874358776"
BEVERWIJK,"279,9573890135817"
BINNENMAAS,"262,42572854021364"
BLADEL,"249,09543795361975"
BLARICUM,"247,1424029251619"
BLOEMENDAAL,"246,23274318446445"
BODEGRAVEN-REEUWIJK,"245,59497753732327"
BOEKEL,"240,17838633095934"
BORGER-ODOORN,"305,76503695135017"
BORNE,"275,02673414874687"
BORSELE,"232,9305358961572"
BOXMEER,"259,0162540245045"
BOXTEL,"250,47376771715835"
BREDA,"264,82050691819427"
BRIELLE,"276,8295340679844"
BRONCKHORST,"280,63692937404426"
BRUMMEN,"271,5202056412847"
BRUNSSUM,"352,3486822853317"
BUNNIK,"253,62337388886797"
BUNSCHOTEN,"221,6223536521479"
BUREN,"274,2290951292943"
CAPELLE AAN DEN IJSSEL,"276,43548838749456"
CASTRICUM,"245,97963548091008"
COEVORDEN,"282,56596055180535"
CRANENDONCK,"266,7114492240061"
CROMSTRIJEN,"265,0931167391771"
CUIJK,"268,060856064446"
CULEMBORG,"252,94117653429913"
DALFSEN,"251,60072064638928"
DANTUMADIEL,"275,7239719766895"
DE BILT,"257,02454790787976"
DE FRYSKE MARREN,"248,4052697874101"
DE MARNE,"324,55456197956494"
DE RONDE VENEN,"244,60711529810095"
DE WOLDEN,"243,21762495645677"
DELFT,"272,8134569960422"
DELFZIJL,"361,95632857440796"
DEN HELDER,"299,6322345230603"
DEURNE,"242,36013103524357"
DEVENTER,"273,71618135372944"
DIEMEN,"248,09369567734475"
DINKELLAND,"228,19700022221147"
DOESBURG,"319,94810477969907"
DOETINCHEM,"292,6539857153594"
DONGEN,"280,7798602212932"
DONGERADEEL,"281,7403308595087"
DORDRECHT,"287,8568363085062"
DRECHTERLAND,"182,0722367289476"
DRIMMELEN,"264,53279217971607"
DRONTEN,"255,16601358587417"
DRUTEN,"270,16937925212017"
DUIVEN,"258,6869738677063"
ECHT-SUSTEREN,"306,34398509187474"
EDAM-VOLENDAM,"265,74763044779064"
EDE,"245,21846250196162"
EEMNES,"225,37012706703453"
EEMSMOND,"313,6391828632992"
EERSEL,"235,16407012111546"
EIJSDEN-MARGRATEN,"288,98357555764045"
EINDHOVEN,"268,3947590212219"
ELBURG,"243,41747291043018"
EMMEN,"318,1084493864316"
ENKHUIZEN,"251,64028802085184"
ENSCHEDE,"272,4547679948798"
EPE,"305,5529215319451"
ERMELO,"257,86078269475365"
ETTEN-LEUR,"254,15567943408936"
FERWERDERADIEL,"213,91790066492118"
GEERTRUIDENBERG,"268,3807952149004"
GELDERMALSEN,"256,5297810980422"
GELDROP-MIERLO,"276,3914245195462"
GEMERT-BAKEL,"252,62385221103716"
GENNEP,"257,01651350339796"
GIESSENLANDEN,"256,40645253552964"
GILZE EN RIJEN,"265,20312411246806"
GOEREE-OVERFLAKKEE,"299,87452948426596"
GOES,"320,09219587830967"
GOIRLE,"268,3748065568448"
GOOISE MEREN,"241,86673247341196"
GORINCHEM,"274,9644999761852"
GOUDA,"268,1231781425881"
GRAVE,"251,6013930861527"
GRONINGEN,"234,2126205220721"
GROOTEGAST,"238,97630630451565"
GULPEN-WITTEM,"285,7646609233239"
HAAKSBERGEN,"236,8450587798519"
HAAREN,"224,2045495365114"
HAARLEM,"237,39686360694034"
HAARLEMMERLIEDE CA,"213,59371520139067"
HAARLEMMERMEER,"234,27494762218896"
HALDERBERGE,"332,2736886797148"
HARDENBERG,"242,14861773728163"
HARDERWIJK,"261,12090910108356"
HARDINXVELD-GIESSENDAM,"258,3665609759028"
HAREN,"238,9180478368238"
HARLINGEN,"286,61882308949254"
HATTEM,"270,4495527861348"
HEEMSKERK,"269,5301355057971"
HEEMSTEDE,"277,04347873393345"
HEERDE,"272,94562483645717"
HEERENVEEN,"264,2617299575529"
HEERHUGOWAARD,"234,5426548080649"
HEERLEN,"363,8824828880585"
HEEZE-LEENDE,"250,96460459265708"
HEILOO,"241,67607891251507"
HELLENDOORN,"262,97957297454076"
HELLEVOETSLUIS,"295,72741920855594"
HELMOND,"270,9805624002016"
HENDRIK-IDO-AMBACHT,"249,83966654921412"
HENGELO,"261,3319346905331"
HEUMEN,"257,4724628104423"
HEUSDEN,"253,82346790391045"
HILLEGOM,"267,1637914810564"
HILVARENBEEK,"271,2886896212226"
HILVERSUM,"256,83577705236297"
HOF VAN TWENTE,"291,1803099472098"
HOLLANDS KROON,"236,996170788176"
HOOGEVEEN,"301,1886622407562"
HOORN,"228,77732026973226"
HORST AAN DE MAAS,"287,04280967798957"
HOUTEN,"212,69671313805623"
HUIZEN,"252,9356991449133"
HULST,"311,9895777524914"
IJSSELSTEIN,"245,04461825607618"
KAAG EN BRAASSEM,"240,08884848573595"
KAMPEN,"244,4225668012672"
KAPELLE,"229,940305577919"
KATWIJK,"266,4297208636763"
KERKRADE,"367,0970961302606"
KOGGENLAND,"190,8521481656573"
KOLLUMERLAND CA,"269,53118394314527"
KORENDIJK,"270,4738829098403"
KRIMPEN AAN DEN IJSSEL,"287,18496044872205"
KRIMPENERWAARD,"248,68116788824344"
LAARBEEK,"266,89725012455295"
LANDERD,"269,6835307572054"
LANDGRAAF,"338,9021314626246"
LANDSMEER,"255,94753854578144"
LANGEDIJK,"190,5825985697173"
LANSINGERLAND,"200,48598471594232"
LAREN,"277,8471639631721"
LEEK,"255,94541309019772"
LEERDAM,"276,56016453691336"
LEEUWARDEN,"256,80263657966844"
LEIDEN,"251,12070539389356"
LEIDERDORP,"264,7354961040366"
LEIDSCHENDAM-VOORBURG,"290,49649814916734"
LELYSTAD,"289,974285546023"
LEUDAL,"273,1269848501082"
LEUSDEN,"227,4238000485618"
LINGEWAAL,"240,43910766902016"
LINGEWAARD,"249,14456248496884"
LISSE,"255,95277769184096"
LOCHEM,"254,14115221177804"
LOON OP ZAND,"276,40595163594116"
LOPIK,"217,52040666000053"
LOPPERSUM,"296,847653043982"
LOSSER,"261,66811326592557"
MAASDRIEL,"235,4920317782354"
MAASGOUW,"318,8600411277944"
MAASSLUIS,"278,3648856866598"
MAASTRICHT,"338,0614448970899"
MARUM,"230,79588583358947"
MEDEMBLIK,"225,1095526822527"
MEERSSEN,"337,9622508245045"
MEIERIJSTAD,"253,39578427102842"
MEPPEL,"280,6631818364913"
MIDDELBURG,"247,45617898562696"
MIDDEN-DELFLAND,"207,06886436809555"
MIDDEN-DRENTHE,"256,64323720658"
MIDDEN-GRONINGEN,"304,4093900749214"
MILL EN SINT HUBERT,"258,6425279251107"
MOERDIJK,"280,0265538914722"
MOLENWAARD,"209,82012320572608"
MONTFERLAND,"293,1036362602141"
MONTFOORT,"216,35509565418027"
MOOK EN MIDDELAAR,"240,03521816826844"
NEDER-BETUWE,"296,88509889088897"
NEDERWEERT,"276,06178888240305"
NEERIJNEN,"215,87303178508867"
NIEUWEGEIN,"279,10140595032004"
NIEUWKOOP,"225,21871734081765"
NIJKERK,"244,1665861936731"
NIJMEGEN,"253,70312335314608"
NISSEWAARD,"322,1150011531627"
NOORD-BEVELAND,"277,594927541183"
NOORDENVELD,"248,97233630839312"
NOORDOOSTPOLDER,"246,57681962199626"
NOORDWIJK,"234,21197740977638"
NOORDWIJKERHOUT,"245,57435887468893"
NUENEN CA,"235,80291094794498"
NUNSPEET,"259,21231847088893"
NUTH,"316,03114629383754"
OEGSTGEEST,"229,9692735753984"
OIRSCHOT,"247,4081789075279"
